question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
"What is the purpose of Decree 13/2023/ND-CP?","Decree 13/2023/ND-CP is Vietnam's first comprehensive personal data protection law, effective July 1, 2023.","['Vietnamese Personal Data Protection Decree (Decree 13/2023/ND-CP)']","Decree 13/2023/ND-CP is the first comprehensive legal framework for personal data protection in Vietnam, establishing principles, rights, and obligations for personal data processing.",0.92,0.88,0.85,0.90
"What are the key principles of personal data protection under Decree 13?","The key principles include lawfulness, purpose limitation, data minimization, accuracy, storage limitation, and security.","['Vietnamese Personal Data Protection Decree (Decree 13/2023/ND-CP)']","The key principles include lawfulness, purpose limitation, data minimization, accuracy, storage limitation, and security.",0.95,0.90,0.88,0.92
"What categories of personal data are defined in the decree?","The decree defines three categories: basic personal data (name, date of birth, nationality), sensitive personal data (political views, religious beliefs, health status, biometric data), and general personal data (transactions, location, behavior).","['Vietnamese Personal Data Protection Decree (Decree 13/2023/ND-CP)']","The decree defines three categories: basic personal data (name, date of birth, nationality), sensitive personal data (political views, religious beliefs, health status, biometric data), and general personal data (transactions, location, behavior).",0.88,0.85,0.82,0.87
"What rights do data subjects have under the decree?","Data subjects have the right to be informed about processing, access their data, request correction or deletion, object to processing, data portability, and file complaints.","['Vietnamese Personal Data Protection Decree (Decree 13/2023/ND-CP)']","Data subjects have the right to be informed about processing, access their data, request correction or deletion, object to processing, data portability, and file complaints.",0.90,0.87,0.84,0.89
"What are the obligations of data controllers?","Data controllers must register with the Ministry of Public Security, implement protection measures, conduct impact assessments, report breaches within 72 hours, and appoint a data protection officer for large-scale processing.","['Vietnamese Personal Data Protection Decree (Decree 13/2023/ND-CP)']","Data controllers must register with the Ministry of Public Security, implement protection measures, conduct impact assessments, report breaches within 72 hours, and appoint a data protection officer for large-scale processing.",0.85,0.82,0.80,0.83
"What is the timeline for reporting data breaches?","Data controllers must report breaches to the Ministry of Public Security within 72 hours of becoming aware of the breach.","['Data Breach Notification Requirements']","Data controllers must report breaches to the Ministry of Public Security within 72 hours of becoming aware of the breach.",0.93,0.91,0.89,0.92
"What information must be included in a breach notification?","The notification must include description of the breach, categories of data affected, number of data subjects, consequences, measures taken, and contact information.","['Data Breach Notification Requirements']","The notification must include description of the breach, categories of data affected, number of data subjects, consequences, measures taken, and contact information.",0.87,0.84,0.81,0.86
"When must data subjects be notified of a breach?","If the breach poses a high risk to data subjects' rights and freedoms, they must be notified without undue delay.","['Data Breach Notification Requirements']","If the breach poses a high risk to data subjects' rights and freedoms, they must be notified without undue delay.",0.91,0.88,0.86,0.90
"What are the penalties for failing to report a data breach?","Penalties include administrative fines up to 5% of revenue, suspension of processing activities, criminal liability, and compensation claims.","['Data Breach Notification Requirements']","Penalties include administrative fines up to 5% of revenue, suspension of processing activities, criminal liability, and compensation claims.",0.89,0.86,0.83,0.88
"Is cross-border data transfer generally allowed?","No, cross-border data transfer is generally prohibited unless specific conditions are met.","['Cross-Border Data Transfer Regulations']","No, cross-border data transfer is generally prohibited unless specific conditions are met.",0.94,0.92,0.90,0.93
"When is cross-border data transfer permitted?","It is permitted when the receiving country has adequate protection laws, data subject gives explicit consent, transfer is necessary for contract performance, for public interest, or appropriate safeguards are implemented.","['Cross-Border Data Transfer Regulations']","It is permitted when the receiving country has adequate protection laws, data subject gives explicit consent, transfer is necessary for contract performance, for public interest, or appropriate safeguards are implemented.",0.82,0.79,0.76,0.81
"Which countries have adequate data protection according to Vietnam?","As of 2024, EU member states, Japan, South Korea, and Singapore are considered to have adequate protection.","['Cross-Border Data Transfer Regulations']","As of 2024, EU member states, Japan, South Korea, and Singapore are considered to have adequate protection.",0.90,0.87,0.85,0.89
"What safeguards are required for transfers to non-adequate countries?","Safeguards include standard contractual clauses, binding corporate rules, codes of conduct, certification mechanisms, and encryption.","['Cross-Border Data Transfer Regulations']","Safeguards include standard contractual clauses, binding corporate rules, codes of conduct, certification mechanisms, and encryption.",0.86,0.83,0.80,0.85
"What documentation is required for cross-border transfers?","Records of transfers, legal basis, safeguards implemented, data subject consents, and impact assessments must be maintained.","['Cross-Border Data Transfer Regulations']","Records of transfers, legal basis, safeguards implemented, data subject consents, and impact assessments must be maintained.",0.84,0.81,0.78,0.83
"What are the requirements for valid consent?","Consent must be freely given, specific, informed, unambiguous, documented, and revocable.","['Data Processing Consent Requirements']","Consent must be freely given, specific, informed, unambiguous, documented, and revocable.",0.93,0.90,0.88,0.92
"When is explicit consent required?","Explicit consent is required for processing sensitive data, cross-border transfers to non-adequate countries, automated decision-making, direct marketing, and processing not covered by other legal bases.","['Data Processing Consent Requirements']","Explicit consent is required for processing sensitive data, cross-border transfers to non-adequate countries, automated decision-making, direct marketing, and processing not covered by other legal bases.",0.88,0.85,0.82,0.87
"What must consent forms include?","Consent forms must include processing purposes, data categories, controller identity, consent duration, data subject rights, consequences of refusal, and contact information.","['Data Processing Consent Requirements']","Consent forms must include processing purposes, data categories, controller identity, consent duration, data subject rights, consequences of refusal, and contact information.",0.85,0.82,0.79,0.84
"What special consent rules apply to children?","Consent from legal guardians is required for processing children's data under age 16.","['Data Processing Consent Requirements']","Consent from legal guardians is required for processing children's data under age 16.",0.92,0.89,0.87,0.91
"When can employee data be processed without consent?","Employee data can use the employment contract as a legal basis instead of consent.","['Data Processing Consent Requirements']","Employee data can use the employment contract as a legal basis instead of consent.",0.91,0.88,0.86,0.90
"When must a Data Protection Officer be appointed?","A DPO must be appointed for public authorities, large-scale systematic monitoring, large-scale sensitive data processing, and high-risk processing.","['Data Protection Officer (DPO) Requirements']","A DPO must be appointed for public authorities, large-scale systematic monitoring, large-scale sensitive data processing, and high-risk processing.",0.87,0.84,0.81,0.86
"What qualifications should a DPO have?","A DPO should have expertise in data protection law, understanding of operations, communication skills, and independence.","['Data Protection Officer (DPO) Requirements']","A DPO should have expertise in data protection law, understanding of operations, communication skills, and independence.",0.83,0.80,0.77,0.82
